Axial_load,Confining_Pressure,Displesment,Pore_Pressure
1.180,82.830,0.163,8.880
1.250,83.590,0.006,8.940
1.510,82.010,0.021,8.720
1.720,82.490,0.040,8.940
2.000,83.110,0.063,8.990
2.300,82.780,0.085,8.780
2.620,82.680,0.105,9.250
2.780,82.880,0.123,9.040
3.010,83.640,0.144,8.990
3.170,83.210,0.164,9.040
3.230,82.300,0.186,8.780
3.380,83.210,0.205,9.040
3.480,82.680,0.229,8.830
3.540,82.200,0.250,8.990
3.670,82.730,0.273,9.040
3.800,82.590,0.292,8.990
3.870,82.590,0.315,9.090
3.890,82.880,0.338,9.090
4.010,83.550,0.358,9.150
4.050,83.160,0.382,9.150
4.090,82.400,0.403,8.780
3.990,81.820,0.428,8.880
3.990,82.250,0.452,9.040
4.210,81.870,0.475,8.830
4.220,82.300,0.498,9.040
4.350,82.250,0.523,9.200
4.380,82.780,0.547,9.200
4.390,83.400,0.569,9.200
4.540,81.820,0.594,8.990
4.540,82.590,0.616,9.250
4.660,83.110,0.642,9.250
4.650,81.920,0.665,8.830
4.710,82.830,0.690,9.250
4.770,82.490,0.715,9.150
4.840,82.400,0.740,9.250
4.970,81.770,0.764,8.940
5.010,82.350,0.788,9.150
5.140,83.070,0.811,9.360
5.190,82.880,0.835,9.090
5.200,82.300,0.860,9.250
5.250,82.440,0.883,9.310
5.360,82.300,0.908,9.250
5.420,82.680,0.931,9.310
5.430,81.920,0.957,9.250
5.470,82.640,0.984,9.310
5.550,82.590,1.009,9.360
5.660,83.160,1.026,9.410
5.730,81.630,1.051,8.830
5.770,82.680,1.078,9.310
5.730,82.440,1.103,9.310
5.850,82.350,1.129,9.250
5.840,82.350,1.154,9.310
5.890,82.540,1.181,9.410
5.950,82.830,1.206,9.520
5.930,82.060,1.233,9.200
5.860,82.300,1.257,9.470
5.990,82.350,1.283,9.470
6.090,82.490,1.308,9.410
6.060,82.110,1.334,9.470
6.170,82.300,1.359,9.470
6.150,82.780,1.385,9.470
6.320,82.160,1.411,9.410
6.290,82.680,1.436,9.470
6.380,82.400,1.462,9.470
6.480,82.780,1.490,9.520
6.490,83.210,1.513,9.570
6.550,82.250,1.541,8.990
6.550,82.250,1.566,9.410
6.480,82.250,1.593,9.520
6.490,82.350,1.617,9.520
6.450,82.880,1.643,9.570
6.650,83.400,1.669,9.570
6.770,83.590,1.696,9.570
6.660,82.010,1.723,9.470
6.680,82.640,1.747,9.570
6.750,83.110,1.773,9.630
6.910,83.640,1.801,9.680
6.870,82.880,1.828,9.890
6.970,83.450,1.851,9.630
7.010,82.680,1.879,9.570
6.940,82.110,1.905,9.680
7.040,82.730,1.932,9.680
7.070,83.110,1.957,9.630
7.160,83.690,1.983,9.730
7.040,82.400,2.010,9.630
7.230,83.500,2.036,9.680
7.230,82.780,2.065,9.730
7.250,83.350,2.088,9.680
7.380,82.780,2.116,9.680
7.280,82.640,2.142,9.730
7.400,82.160,2.169,9.730
7.470,82.780,2.195,9.730
7.490,83.260,2.222,9.730
7.600,82.490,2.247,9.310
7.650,82.400,2.274,9.730
7.710,82.160,2.298,9.680
7.720,82.730,2.324,9.730
7.820,82.490,2.351,9.790
7.770,82.680,2.379,9.790
7.740,82.440,2.405,9.730
7.850,82.970,2.433,9.840
7.860,83.450,2.457,9.840
7.780,82.680,2.482,9.790
7.860,82.780,2.505,9.840
7.890,83.310,2.533,9.840
7.970,82.350,2.557,9.410
