Axial_load,Confining_Pressure,Displesment,Pore_Pressure
0.990,39.660,1.928,4.890
1.230,39.660,0.032,4.950
1.620,39.760,0.059,4.950
1.810,39.710,0.085,4.950
2.160,39.810,0.111,5.000
2.370,39.860,0.136,4.950
2.620,39.900,0.163,4.890
2.900,39.950,0.188,4.890
3.160,39.760,0.215,4.890
3.340,39.620,0.241,4.630
3.570,39.710,0.268,4.950
3.720,39.710,0.293,4.890
3.890,39.760,0.319,4.890
4.040,39.760,0.346,4.890
4.260,39.810,0.372,4.890
4.390,39.810,0.395,4.890
4.520,39.860,0.422,4.950
4.650,39.950,0.447,4.950
4.860,39.860,0.474,4.890
5.020,39.900,0.501,4.890
5.190,39.950,0.525,4.950
5.240,39.900,0.552,4.950
5.430,39.950,0.579,4.950
5.450,39.810,0.605,4.950
5.690,39.860,0.631,4.950
5.760,39.900,0.658,5.000
5.880,39.950,0.684,4.950
6.000,40.000,0.711,4.950
6.090,39.760,0.735,4.890
6.280,39.760,0.762,5.000
6.330,39.860,0.787,4.950
6.400,39.860,0.815,4.890
6.550,39.860,0.840,5.000
6.580,39.950,0.866,4.950
6.770,39.570,0.894,4.840
6.840,39.620,0.916,4.840
6.940,39.660,0.942,4.890
6.990,39.710,0.967,4.890
7.120,39.860,0.994,4.890
7.250,39.760,1.022,4.890
7.290,40.380,1.047,5.000
7.350,39.620,1.072,4.840
7.490,39.710,1.096,4.950
7.500,39.710,1.124,4.840
7.590,39.760,1.149,4.950
7.660,39.810,1.173,4.840
7.680,39.810,1.201,4.890
7.750,39.810,1.230,4.890
7.840,39.900,1.251,4.890
7.880,39.950,1.278,4.890
7.970,40.050,1.303,4.950
8.000,39.660,1.329,4.890
8.130,39.710,1.355,4.890
8.170,39.810,1.380,4.890
8.170,39.760,1.406,4.890
8.240,39.810,1.433,4.890
8.250,39.900,1.458,4.890
8.360,39.950,1.483,4.950
8.340,39.760,1.510,4.840
8.410,39.860,1.537,4.840
8.520,40.000,1.564,4.950
8.600,39.380,1.589,4.790
8.590,39.620,1.614,4.890
8.660,39.660,1.638,4.950
8.750,39.760,1.666,4.890
8.740,39.760,1.691,4.890
8.810,39.900,1.718,4.950
8.900,39.520,1.746,4.840
8.900,39.620,1.768,4.890
8.900,39.710,1.797,4.890
9.030,39.760,1.820,4.890
8.960,39.900,1.847,4.950
9.060,39.900,1.874,4.950
9.150,39.520,1.897,4.730
9.110,39.620,1.925,4.840
9.160,39.710,1.951,4.890
9.300,39.710,1.977,4.890
9.350,39.710,2.005,4.890
9.400,39.760,2.030,4.950
9.410,39.810,2.056,4.950
9.440,39.860,2.082,4.890
9.530,39.900,2.108,4.890
9.550,40.000,2.134,4.950
9.630,39.860,2.163,4.950
9.620,39.900,2.187,4.840
9.640,39.950,2.212,4.950
9.610,40.000,2.239,4.890
9.740,40.000,2.260,4.890
9.590,39.810,2.290,4.840
9.680,39.900,2.314,4.890
9.760,39.950,2.341,4.890
