Axial_load,Confining_Pressure,Displesment,Pore_Pressure
15.040,62.850,1.110,4.040
15.080,63.230,1.118,3.990
15.260,63.620,1.127,4.100
15.120,62.610,1.138,3.990
15.290,62.900,1.149,4.040
15.190,63.190,1.156,4.040
15.390,63.520,1.166,4.100
15.350,62.710,1.177,4.040
15.390,62.850,1.189,4.040
15.390,62.900,1.199,3.990
15.430,62.990,1.208,4.040
15.550,62.990,1.218,4.100
15.700,63.090,1.229,4.100
15.590,63.140,1.239,4.100
15.660,63.230,1.249,4.100
15.730,63.280,1.259,4.100
15.700,63.330,1.269,4.040
15.740,63.380,1.281,4.040
15.770,63.470,1.292,4.040
15.800,63.620,1.302,3.990
15.840,62.710,1.311,3.990
15.820,62.850,1.325,3.990
15.880,62.900,1.339,4.040
15.880,62.950,1.350,4.040
15.990,63.040,1.362,3.990
16.040,63.040,1.379,4.040
16.010,63.140,1.398,3.990
16.130,63.140,1.418,4.100
16.090,63.230,1.438,4.040
16.140,63.280,1.460,4.040
16.150,63.330,1.478,4.040
16.250,63.430,1.501,4.040
16.200,63.470,1.519,4.040
16.250,63.570,1.539,4.040
16.340,63.570,1.559,4.100
16.210,62.660,1.582,4.040
16.260,63.380,1.606,4.100
16.250,62.850,1.630,3.990
16.410,63.230,1.652,4.100
16.520,63.660,1.676,4.100
16.480,63.710,1.702,4.200
16.560,63.660,1.726,4.150
16.550,63.280,1.751,4.150
16.590,63.620,1.775,4.200
16.670,62.950,1.797,4.040
15.770,63.090,1.834,4.040
16.050,63.230,1.854,4.100
16.280,63.330,1.882,3.990
16.250,63.430,1.905,4.040
16.320,63.570,1.933,4.040
16.350,62.560,1.958,3.940
16.350,62.990,1.981,4.040
16.450,63.430,2.006,4.100
16.430,62.710,2.035,3.990
16.480,62.950,2.058,4.040
16.450,63.040,2.082,3.990
16.530,63.230,2.107,4.040
16.730,63.380,2.135,4.100
16.750,63.660,2.162,3.990
16.460,62.800,2.189,4.100
16.510,63.230,2.213,4.040
16.590,63.190,2.240,4.040
16.240,62.950,2.259,4.040
16.600,63.140,2.283,4.040
16.700,63.190,2.310,4.040
16.780,63.280,2.336,4.040
16.880,63.430,2.361,4.040
16.860,63.520,2.389,4.040
16.930,62.850,2.414,3.940
16.990,63.090,2.443,4.040
16.970,63.190,2.465,3.990
17.080,63.330,2.490,4.040
17.110,63.430,2.516,3.990
17.130,63.570,2.542,3.990
17.230,63.660,2.567,3.990
16.950,62.950,2.594,4.040
16.990,63.090,2.619,3.990
17.130,63.280,2.644,4.040
17.190,63.520,2.670,4.040
17.250,63.380,2.700,3.990
17.410,63.710,2.721,4.310
17.320,62.850,2.748,4.100
17.320,63.040,2.772,4.040
17.160,63.090,2.799,3.990
17.400,63.230,2.827,4.040
17.450,63.330,2.853,4.040
17.500,63.470,2.878,4.040
17.430,63.090,2.904,4.040
17.330,62.900,2.931,3.990
17.330,63.090,2.956,3.990
17.540,63.280,2.983,4.100
17.500,63.520,3.010,4.040
17.480,63.470,3.037,4.040
17.590,63.430,3.060,4.100
17.600,63.520,3.087,4.040
17.760,63.230,3.113,4.040
17.720,63.620,3.140,4.040
17.590,63.430,3.165,4.040
17.640,63.620,3.188,3.990
17.600,62.560,3.214,3.780
17.760,63.380,3.239,4.040
17.760,63.430,3.266,3.990
17.840,63.570,3.294,4.100
17.770,63.660,3.319,3.990
17.760,62.850,3.346,3.940
17.710,62.900,3.371,3.990
17.760,62.990,3.397,4.040
17.730,63.090,3.423,3.940
17.830,63.190,3.450,4.040
18.050,63.280,3.475,4.040
17.990,63.380,3.501,4.040
18.150,63.470,3.528,3.990
18.120,63.570,3.554,4.040
18.250,62.800,3.579,3.780
18.070,63.380,3.606,4.040
18.080,63.430,3.631,3.990
17.640,63.570,3.663,4.040
17.850,63.620,3.679,3.990
17.830,62.900,3.708,4.040
18.060,63.140,3.733,4.040
18.080,63.430,3.759,4.100
18.110,62.180,3.786,3.560
18.170,63.380,3.811,4.040
18.370,63.520,3.835,4.040
18.510,63.570,3.863,4.040
18.580,62.990,3.887,3.830
18.400,63.140,3.913,4.040
18.390,63.280,3.940,3.940
18.320,63.280,3.965,4.040
18.680,63.430,3.990,4.040
18.610,63.520,4.014,3.940
18.740,63.570,4.040,3.990
18.640,62.560,4.067,3.670
18.850,63.710,4.089,4.100
18.580,62.900,4.117,4.040
18.630,62.990,4.143,3.990
18.640,63.090,4.169,3.990
18.750,63.280,4.195,4.100
18.730,63.430,4.221,4.040
18.900,63.470,4.247,4.150
18.770,62.900,4.272,4.040
18.800,63.140,4.298,4.040
18.910,63.470,4.326,4.040
18.910,63.380,4.353,4.100
18.750,63.280,4.381,4.150
18.990,62.800,4.402,3.940
18.890,63.090,4.428,3.990
19.050,63.330,4.455,4.040
18.890,63.660,4.480,4.040
18.970,63.430,4.506,4.040
19.070,63.470,4.531,3.990
19.110,63.570,4.557,3.990
19.140,62.710,4.586,3.880
19.140,62.950,4.608,4.040
19.220,63.090,4.636,3.990
19.230,63.140,4.660,3.990
19.130,63.230,4.686,3.990
19.180,63.330,4.713,3.990
19.270,63.430,4.738,3.940
19.370,63.570,4.762,4.040
