Axial_load,Confining_Pressure,Displesment,Pore_Pressure
4.580,41.150,0.002,4.840
4.550,41.200,0.000,4.790
4.680,41.240,0.005,4.790
5.040,41.240,0.037,4.790
5.110,41.390,0.064,4.840
5.140,41.580,0.090,4.790
5.250,41.680,0.115,4.840
5.180,41.720,0.142,4.790
5.210,41.580,0.168,4.840
5.310,41.680,0.194,4.840
5.370,41.820,0.220,4.840
5.330,41.580,0.242,4.890
5.420,41.680,0.269,4.790
5.460,41.340,0.295,4.790
5.490,41.580,0.318,4.790
5.600,41.680,0.344,4.890
5.350,41.770,0.375,4.840
5.350,41.150,0.400,4.790
5.450,41.240,0.424,4.840
5.470,41.290,0.451,4.840
5.630,42.300,0.478,5.050
5.620,41.440,0.503,4.840
5.670,41.480,0.529,4.840
5.740,41.580,0.553,4.840
5.870,41.480,0.582,4.840
5.880,41.530,0.608,4.790
5.950,41.630,0.635,4.790
6.050,41.290,0.661,4.840
5.930,41.340,0.685,4.840
6.020,41.440,0.711,4.840
6.100,41.290,0.738,4.730
6.100,41.390,0.763,4.890
6.200,41.530,0.791,4.890
6.310,41.680,0.816,5.050
6.190,41.200,0.844,4.890
6.260,41.290,0.868,4.840
6.320,41.340,0.894,4.890
6.440,41.770,0.922,5.000
6.390,41.050,0.946,4.730
6.370,41.200,0.971,4.890
6.380,41.240,0.999,4.890
6.470,41.390,1.025,4.840
6.450,41.200,1.051,4.890
6.430,41.290,1.076,4.890
6.570,41.390,1.103,4.950
6.610,41.580,1.130,4.840
6.680,41.680,1.153,4.890
6.720,41.720,1.179,4.950
6.610,41.440,1.206,4.790
6.670,41.530,1.231,4.950
6.670,41.580,1.257,4.890
6.600,42.200,1.284,5.110
6.490,41.390,1.313,4.890
6.710,41.530,1.339,4.890
6.690,41.630,1.365,4.890
6.740,41.480,1.385,4.890
6.660,41.530,1.415,4.890
6.780,41.680,1.441,4.950
6.690,42.150,1.466,5.110
6.780,41.200,1.492,4.890
6.790,41.290,1.519,4.890
6.820,41.150,1.545,4.840
6.880,41.240,1.570,4.890
6.490,41.630,1.605,4.950
6.660,41.340,1.626,4.890
6.720,41.390,1.651,4.950
6.810,41.920,1.678,5.110
6.780,41.240,1.703,4.950
6.810,41.240,1.729,4.950
6.870,41.440,1.755,4.950
6.840,41.440,1.780,4.950
6.780,41.340,1.805,4.950
6.890,41.390,1.830,5.000
6.870,41.480,1.858,4.950
6.730,41.050,1.881,4.890
6.900,41.200,1.909,4.950
6.930,41.200,1.934,4.890
6.890,41.240,1.960,4.840
6.850,41.440,1.987,4.950
6.840,41.480,2.010,5.000
6.890,41.920,2.039,5.050
6.960,41.240,2.063,4.950
7.060,41.340,2.090,5.000
7.030,41.390,2.116,4.950
7.070,40.570,2.141,4.680
7.010,41.390,2.167,5.000
7.050,41.480,2.192,4.950
7.080,41.530,2.220,4.950
6.910,41.580,2.243,4.950
7.030,41.680,2.272,5.000
7.110,41.770,2.298,5.050
7.150,41.340,2.324,4.890
7.090,41.480,2.348,5.000
7.130,41.530,2.376,4.950
7.260,41.630,2.399,5.000
7.240,40.770,2.426,4.840
7.230,41.340,2.452,5.050
7.260,41.390,2.481,5.000
7.240,41.530,2.504,5.050
7.280,41.720,2.532,5.000
7.270,41.720,2.554,5.000
7.330,41.340,2.580,4.950
7.300,41.480,2.607,5.000
7.350,41.480,2.633,5.000
7.370,41.240,2.659,5.110
7.440,41.290,2.684,5.050
7.440,41.390,2.710,5.000
7.480,41.870,2.734,5.110
7.470,41.630,2.761,5.000
7.550,41.720,2.786,5.050
7.520,41.680,2.810,5.000
7.580,41.770,2.836,5.050
7.500,41.630,2.864,5.050
7.610,41.720,2.891,5.110
7.610,41.680,2.916,5.050
7.610,41.720,2.943,5.050
7.680,41.680,2.969,5.000
7.780,41.770,2.996,5.050
7.740,41.580,3.021,5.050
7.830,41.680,3.049,5.000
7.840,41.770,3.074,5.110
