Axial_load,Confining_Pressure,Displesment,Pore_Pressure
1.090,82.830,3.858,8.240
1.210,82.590,0.024,8.140
1.400,82.440,0.050,8.300
1.630,82.730,0.078,8.300
1.670,82.970,0.104,8.300
1.890,82.490,0.127,8.080
2.090,82.880,0.152,8.300
2.200,83.110,0.180,8.240
2.380,83.450,0.206,8.240
2.570,82.250,0.231,7.500
2.650,83.020,0.256,8.240
2.700,83.260,0.283,8.240
2.890,81.820,0.308,7.980
3.100,82.680,0.334,8.300
3.310,82.680,0.358,8.240
3.290,83.070,0.387,8.560
3.430,83.450,0.410,8.780
3.560,83.550,0.436,8.780
3.710,82.490,0.465,8.350
3.780,82.730,0.490,8.240
3.840,82.680,0.516,8.300
4.080,82.540,0.541,8.300
4.180,82.780,0.566,8.300
4.160,82.970,0.594,8.670
4.310,82.590,0.616,8.300
4.310,82.920,0.642,8.300
4.470,83.260,0.669,8.300
4.500,82.880,0.695,8.140
4.590,83.350,0.720,8.780
4.830,82.730,0.749,8.350
4.850,83.070,0.772,8.240
4.930,82.540,0.798,8.300
5.050,82.830,0.825,8.240
5.150,82.970,0.852,8.300
5.240,82.830,0.877,8.140
5.390,83.160,0.903,8.240
5.520,83.160,0.933,8.350
5.580,83.450,0.959,8.300
5.460,83.070,0.984,8.240
5.630,82.440,1.010,8.350
5.740,82.780,1.036,8.350
5.720,82.880,1.062,8.240
5.860,83.110,1.088,8.350
5.910,83.260,1.115,8.300
6.050,83.500,1.140,8.350
6.060,83.110,1.166,8.300
6.160,83.400,1.189,8.300
6.180,83.640,1.216,8.350
6.130,82.680,1.242,8.350
6.320,83.020,1.267,8.300
6.360,83.260,1.293,8.300
6.470,83.500,1.320,8.300
6.530,82.640,1.344,8.190
6.480,82.540,1.371,8.300
6.640,82.250,1.396,8.140
6.700,82.640,1.420,8.350
6.860,82.920,1.447,8.300
6.950,82.300,1.474,7.980
6.970,82.680,1.497,8.300
7.000,82.680,1.524,8.240
7.080,82.400,1.548,8.350
7.140,82.680,1.574,8.300
7.180,82.730,1.599,8.300
7.270,83.210,1.625,8.350
7.320,83.590,1.651,8.350
7.350,82.730,1.676,8.240
7.460,82.010,1.700,7.980
7.530,82.590,1.727,8.240
7.680,83.500,1.752,9.090
7.720,82.730,1.776,8.510
7.740,83.260,1.804,8.300
7.860,82.540,1.829,8.350
7.930,82.830,1.854,8.300
7.950,82.590,1.880,8.400
7.910,82.880,1.908,8.300
7.930,83.110,1.933,8.350
8.100,82.640,1.958,8.300
8.160,82.250,1.984,8.240
8.130,82.300,2.009,8.350
8.280,82.590,2.035,8.300
8.340,83.020,2.064,8.460
8.430,82.350,2.087,8.350
8.440,82.680,2.112,8.400
8.460,82.590,2.138,8.350
8.600,82.350,2.163,8.400
8.600,82.680,2.189,8.300
8.690,83.160,2.214,8.400
8.730,82.400,2.238,7.980
8.770,82.490,2.264,8.300
8.520,82.250,2.295,8.080
8.660,82.440,2.315,8.300
8.720,82.780,2.343,8.350
8.720,82.400,2.366,8.140
8.760,82.490,2.390,8.400
8.860,82.780,2.417,8.350
9.020,82.590,2.442,8.350
9.120,82.830,2.469,8.400
9.180,83.110,2.494,8.350
9.120,82.400,2.522,8.350
9.250,82.730,2.545,8.350
9.240,83.020,2.571,8.300
9.270,83.260,2.596,8.300
9.470,83.500,2.622,8.350
9.500,83.350,2.650,8.670
9.510,83.590,2.673,8.350
9.480,82.920,2.698,8.350
9.440,82.590,2.726,8.300
9.610,82.400,2.749,8.350
9.690,82.640,2.776,8.350
9.700,82.880,2.801,8.300
9.900,83.110,2.828,8.350
9.880,83.310,2.853,8.300
9.870,81.730,2.881,7.610
9.640,82.640,2.905,8.400
9.640,82.250,2.930,8.350
9.880,82.590,2.956,8.400
9.940,82.350,2.982,7.920
10.010,82.780,3.008,8.300
10.100,82.590,3.036,8.350
10.260,82.830,3.060,8.400
10.310,83.110,3.086,8.350
10.360,83.350,3.112,8.350
10.520,83.590,3.138,8.350
10.450,82.680,3.165,8.350
10.600,82.970,3.189,8.400
10.690,83.260,3.213,8.350
10.650,83.500,3.238,8.400
10.750,82.440,3.266,8.400
10.630,82.780,3.292,8.350
10.650,83.070,3.319,8.400
10.720,82.110,3.346,7.920
10.680,82.830,3.367,8.400
10.690,82.250,3.394,8.350
10.850,82.490,3.420,8.400
10.980,82.780,3.446,8.400
10.950,82.970,3.473,8.350
11.100,82.780,3.499,8.350
11.290,83.020,3.523,8.400
11.350,83.310,3.546,8.400
11.480,83.550,3.577,8.400
11.370,83.260,3.600,8.400
11.430,83.550,3.627,8.350
11.560,83.500,3.655,8.350
11.650,82.400,3.678,8.350
11.650,82.830,3.703,8.400
11.610,83.110,3.730,8.350
11.650,83.310,3.757,8.400
11.700,83.590,3.781,8.350
11.790,82.640,3.807,8.400
11.770,82.350,3.834,8.140
11.810,82.590,3.859,8.350
11.840,82.830,3.883,8.400
11.870,83.070,3.908,8.350
12.050,83.310,3.937,8.400
12.200,83.550,3.961,8.400
12.220,82.590,3.989,8.300
12.320,82.250,4.012,8.400
12.360,82.590,4.037,8.350
12.420,82.830,4.062,8.350
12.430,82.730,4.091,8.400
12.510,83.020,4.113,8.400
12.600,83.210,4.140,8.400
12.710,83.160,4.164,8.350
12.740,83.020,4.190,8.460
12.690,83.020,4.217,8.400
12.640,82.160,4.242,8.190
12.730,82.590,4.268,8.400
12.750,82.830,4.294,8.460
12.800,83.020,4.321,8.400
12.910,82.350,4.345,8.460
12.870,82.590,4.369,8.350
12.840,82.880,4.399,8.350
12.940,82.880,4.422,8.350
12.960,82.110,4.451,8.140
13.030,83.210,4.474,8.400
13.160,83.450,4.503,8.400
13.120,82.640,4.527,8.190
13.220,83.070,4.554,8.350
13.270,83.310,4.580,8.400
13.230,82.640,4.607,8.300
13.290,82.920,4.633,8.400
13.340,83.160,4.660,8.350
13.410,82.400,4.679,8.240
13.300,82.780,4.707,8.400
13.410,83.070,4.733,8.400
13.540,82.300,4.761,8.030
13.350,82.730,4.786,8.400
13.540,82.780,4.811,8.460
13.670,82.540,4.835,8.400
13.730,82.780,4.862,8.400
13.720,81.530,4.888,7.920
13.750,82.540,4.916,8.670
13.770,82.540,4.942,8.240
13.800,82.540,4.968,8.460
13.790,82.160,4.994,8.140
13.870,82.590,5.018,8.400
13.990,82.160,5.045,8.190
14.020,82.490,5.072,8.460
13.900,82.200,5.096,8.240
13.890,82.590,5.123,8.350
13.830,83.640,5.148,8.830
13.840,82.680,5.175,8.350
13.880,83.350,5.199,8.460
13.620,82.400,5.227,8.300
13.830,82.970,5.251,8.400
13.880,82.350,5.278,8.300
13.880,82.440,5.301,8.400
13.900,82.680,5.328,8.350
13.870,82.300,5.355,8.400
14.060,82.640,5.380,8.460
14.070,82.880,5.405,8.400
14.070,82.780,5.432,8.350
14.010,82.160,5.456,8.080
13.990,82.540,5.484,8.460
14.160,82.730,5.506,8.400
13.940,82.060,5.534,8.030
14.100,82.400,5.562,8.400
14.080,82.540,5.587,8.400
14.120,82.780,5.613,8.400
13.930,83.020,5.638,8.400
14.120,83.260,5.667,8.350
14.230,82.350,5.694,8.400
14.350,83.160,5.722,8.400
14.390,82.300,5.743,7.820
14.350,82.880,5.770,8.400
14.520,83.110,5.796,8.460
14.490,83.070,5.823,8.720
14.480,82.780,5.846,8.400
14.500,81.730,5.871,8.030
14.560,82.590,5.899,8.460
14.660,82.440,5.923,8.190
14.720,82.730,5.948,8.400
14.760,82.730,5.976,8.620
14.730,83.160,6.001,8.510
14.880,83.590,6.024,8.460
14.850,82.300,6.051,8.030
15.020,83.400,6.079,9.040
14.970,82.060,6.105,8.350
15.000,82.920,6.128,8.400
15.240,83.160,6.157,8.400
15.310,83.350,6.182,8.460
15.290,83.590,6.209,8.460
15.230,84.020,6.235,8.990
15.280,82.640,6.263,8.400
15.360,82.920,6.288,8.400
15.350,83.110,6.314,8.400
15.350,82.730,6.343,8.400
15.430,82.730,6.369,8.460
15.450,82.680,6.395,8.560
15.410,83.020,6.420,8.400
15.520,81.530,6.447,7.710
15.430,82.640,6.472,8.400
15.510,82.830,6.501,8.460
15.560,83.020,6.525,8.400
15.800,83.210,6.551,8.400
15.860,82.780,6.577,8.350
15.850,83.830,6.604,9.410
15.940,83.590,6.628,8.940
16.000,82.920,6.656,8.510
16.250,83.210,6.685,8.460
14.130,82.540,6.757,8.880
14.410,82.440,6.787,8.510
14.600,82.680,6.814,8.460
14.670,82.920,6.838,8.460
14.890,83.110,6.864,8.460
15.010,83.310,6.888,8.400
15.000,82.350,6.913,8.400
15.150,83.160,6.939,8.460
15.240,82.920,6.965,8.300
15.230,83.210,6.992,8.510
15.310,83.450,7.015,8.460
15.560,81.960,7.045,7.610
15.670,82.640,7.068,7.980
15.850,83.310,7.095,8.880
15.940,82.830,7.120,8.510
15.970,82.680,7.148,8.400
16.250,82.920,7.175,8.460
16.260,83.070,7.200,8.460
16.500,83.070,7.226,8.460
16.190,83.070,7.253,8.510
16.560,82.970,7.278,8.670
16.380,82.400,7.305,8.240
16.700,82.680,7.332,8.460
16.750,83.070,7.357,9.040
16.820,82.540,7.382,8.400
16.900,82.440,7.411,8.400
16.930,82.640,7.437,8.510
16.750,81.290,7.462,7.870
16.890,82.400,7.488,8.190
16.840,83.500,7.514,9.150
16.840,82.400,7.540,8.300
16.840,83.350,7.566,8.670
16.920,81.870,7.594,7.980
16.970,82.780,7.617,8.240
16.100,82.250,7.679,8.030
16.200,83.310,7.705,8.400
16.380,83.640,7.730,8.990
16.540,83.500,7.758,8.460
16.390,82.970,7.790,8.670
16.490,82.730,7.808,8.510
16.500,82.830,7.836,8.510
16.690,83.160,7.859,8.510
16.750,82.300,7.887,7.980
16.560,83.110,7.913,8.460
16.730,83.070,7.937,8.510
16.460,82.540,7.963,7.820
16.540,83.020,7.987,8.400
16.750,82.830,8.012,8.460
16.850,82.970,8.037,8.460
16.870,83.310,8.062,8.400
